
	Material	Material Description
	      Unrestricted	Unit

	T00678	CP 1910L-EU CON 3/8"B 4P BLK
	            1.153	ST


	T00721	3144 CONNECTION -FLOJET 1/4"
	              122	ST


	T00723	01524000 FLOJET OFFSET CO2-LIITIN, OIKEA
	              160	ST


	T00725	01510000 CO2-LIITINTAPPI 1/4 , FLOJET
	               24	ST


	T00736	HÅLLARE LYSRÖR NEXT
	                3	ST


	T00748	HÅLLARE LYSRÖR NEXT
	               23	ST


	T00760	1230CO2412V.SCA CONVER 24VAC-12VDC
	               53	ST


	T00852	05-0081 CUP, SODA BRIX
	               11	ST


	T00858	05-0086 CUP, SYRUP BRIX 5,2 TO 1
	                1	ST


	T00859	1089-00 FLOMATIC 424 BRIX SEPARATOR
	                3	ST


	T00860	PH10-83 MOLDED SYRUP SEPARATOR WITH GASK
	               11	ST


	T00863	319540000 SYRUP SEPARATOR UF1, SF1, SFV1
	                4	ST


	T00901	FL380-Q MOUNTAING BLOCK, FLOMATIC 424
	               24	ST


	T00902	FL501-24 FLOMATIC 424 NOZZLE
	              147	ST


	T00903	FL504-10 FLOMATIC 424 DIFFUSER
	              146	ST


	T00904	528 SEAL QUAD Vlv STEM-FLOMATIC
	               16	ST


	T00906	O-RENGAS FLOMATIC-HANAAN 424, 24x1,78 MM
	               35	ST


	T00907	608 O-RING (017) FLOMATIC 424 VALVE
	               40	ST


	T00908	O-RENGAS SEKOITT., FLOMATIC-HANAAN 424,
	               87	ST


	T00910	FL1525 PUSH BUTTON COVER FLOMATIC 424
	               88	ST


	T00913	42 0934 10 CARBONATOR PROBE MAX., SHORT
	                1	ST


	T00916	LUSIKKA FLOMATIC 424-HANAAN, MUSTA
	               25	ST


	T00918	LUSIKAN VIPU, PIENI, FLOMATIC 517-04
	               25	ST


	T00938	33 0167 30 THREADED ADAPTOR, PULSAR
	               24	ST


	T00939	MESS.-ADAPTERI PROCON, PULSAR 40i
	               34	ST


	T00940	74 0021 13 O-RING FOR THREADED ADAPTOR,
	               72	ST


	T00954	KÄYNNISTYSKONDENS. 80 uF, SC18/21, FR
	               14	ST


	T00959	86 0740 10 CONVERSATION KIT-LEVEL CONTR.
	                3	ST


	T00968	33 0052 STEM, 10 MM
	              325	ST


	T00972	33- 0053 NUT-1/2"BSF THREAD, 10 MM HOLE
	              144	ST


	T00974	3009 FITTING FOR HOSE, StSt 10 MM, 3/8"
	               59	ST


	T00979	1003 NUT, NICKEL PLATED BRASS 3/8" THREA
	               39	ST


	T01002	PI47105 JÄÄPANKIN ANTURI, VISION BLUE
	                3	ST


	T01005	PI56274 VISION V34 PCB PROBE
	                5	ST


	T01013	AKRYYLISUPPILO FLOMATIC-HANAAN, 35 MM
	               33	ST


	T01018	5 W LOISTEPUTKI, 4-NAP. PISTOK. 2G7, PL-
	                4	ST


